gs_name,gene_symbol
Cardiac stem and precursor cells.Heart,GATA4
Cardiac stem and precursor cells.Heart,ETV2
Cardiac stem and precursor cells.Heart,KIT
Cardiac stem and precursor cells.Heart,ABCG2
Cardiac stem and precursor cells.Heart,MESP1
Cardiac stem and precursor cells.Heart,BMP4
Cardiac stem and precursor cells.Heart,ADGRL2
Cardiac stem and precursor cells.Heart,TBX3
Cardiac stem and precursor cells.Heart,TBX4
Cardiac stem and precursor cells.Heart,WNT5A
Cardiac stem and precursor cells.Heart,ANKRD1
Cardiomyocytes.Heart,TNNC1
Cardiomyocytes.Heart,ADM
Cardiomyocytes.Heart,ALCAM 
Cardiomyocytes.Heart,NPPA
Cardiomyocytes.Heart,FGF2
Cardiomyocytes.Heart,NPPB
Cardiomyocytes.Heart,TNNI3
Cardiomyocytes.Heart,TNNT2
Cardiomyocytes.Heart,ANKRD1
Cardiomyocytes.Heart,NPPC
Cardiomyocytes.Heart,DES
Cardiomyocytes.Heart,HAND2
Cardiomyocytes.Heart,HAND1
Cardiomyocytes.Heart,GATA4
Cardiomyocytes.Heart,GATA6
Cardiomyocytes.Heart,MYL2
Cardiomyocytes.Heart,NKX2-5
Cardiomyocytes.Heart,PNMT
Cardiomyocytes.Heart,ACTA1
Cardiomyocytes.Heart,CD36
Cardiomyocytes.Heart,RBM20
Cardiomyocytes.Heart,VLDLR
Cardiomyocytes.Heart,ALPK3
Cardiomyocytes.Heart,RBM24
Cardiomyocytes.Heart,FABP4
Cardiomyocytes.Heart,CKMT2
Cardiomyocytes.Heart,SPEG
Cardiomyocytes.Heart,MYH7B
Cardiomyocytes.Heart,MYOM2
Cardiomyocytes.Heart,MYOM1
Cardiomyocytes.Heart,PDLIM5
