IC	Gene	n_genes	phenotype
IC4	CNP	372	OxPhos
IC4	PRPF31	372	OxPhos
IC4	C6orf108	372	OxPhos
IC4	PFKL	372	OxPhos
IC4	NUCB1	372	OxPhos
IC4	EXOSC4	372	OxPhos
IC4	QDPR	372	OxPhos
IC4	NDUFS3	372	OxPhos
IC4	C9orf16	372	OxPhos
IC4	FARSA	372	OxPhos
IC4	ATXN10	372	OxPhos
IC4	PLEKHJ1	372	OxPhos
IC4	RUVBL2	372	OxPhos
IC4	TUFM	372	OxPhos
IC4	RPS19BP1	372	OxPhos
IC4	RABAC1	372	OxPhos
IC4	BCKDK	372	OxPhos
IC4	NR1H2	372	OxPhos
IC4	PYGB	372	OxPhos
IC4	GPX1	372	OxPhos
IC4	MAD2L2	372	OxPhos
IC4	DNAJB11	372	OxPhos
IC4	MDK	372	OxPhos
IC4	NOSIP	372	OxPhos
IC4	HM13	372	OxPhos
IC4	SNRPB	372	OxPhos
IC4	EIF2B1	372	OxPhos
IC4	POLD2	372	OxPhos
IC4	C19orf70	372	OxPhos
IC4	TIMM50	372	OxPhos
IC4	APOA1BP	372	OxPhos
IC4	WDR18	372	OxPhos
IC4	CTSD	372	OxPhos
IC4	KEAP1	372	OxPhos
IC4	COMT	372	OxPhos
IC4	SURF4	372	OxPhos
IC4	CDK2AP2	372	OxPhos
IC4	PPP4C	372	OxPhos
IC4	IMP3	372	OxPhos
IC4	TMEM66	372	OxPhos
IC4	MRPS12	372	OxPhos
IC4	NGRN	372	OxPhos
IC4	TMEM147	372	OxPhos
IC4	HLA-A	372	OxPhos
IC4	PHB2	372	OxPhos
IC4	ALG3	372	OxPhos
IC4	MRPL34	372	OxPhos
IC4	MFF	372	OxPhos
IC4	EIF3G	372	OxPhos
IC4	LRPAP1	372	OxPhos
IC4	TSEN15	372	OxPhos
IC4	HERPUD1	372	OxPhos
IC4	SLC3A2	372	OxPhos
IC4	GUK1	372	OxPhos
IC4	DBNL	372	OxPhos
IC4	PTTG1IP	372	OxPhos
IC4	MPV17L2	372	OxPhos
IC4	BID	372	OxPhos
IC4	MAN1B1	372	OxPhos
IC4	EIF4G1	372	OxPhos
IC4	HLA-C	372	OxPhos
IC4	GSN	372	OxPhos
IC4	NDUFAB1	372	OxPhos
IC4	FKBP1A	372	OxPhos
IC4	SLC25A3	372	OxPhos
IC4	LMAN2	372	OxPhos
IC4	C19orf10	372	OxPhos
IC4	ISCU	372	OxPhos
IC4	EIF5A	372	OxPhos
IC4	PPP1CA	372	OxPhos
IC4	SNX17	372	OxPhos
IC4	CHMP1A	372	OxPhos
IC4	ACOT7	372	OxPhos
IC4	ATP6AP2	372	OxPhos
IC4	EWSR1	372	OxPhos
IC4	TNFRSF12A	372	OxPhos
IC4	LYPLA2	372	OxPhos
IC4	R3HCC1	372	OxPhos
IC4	NDUFB7	372	OxPhos
IC4	NRBP1	372	OxPhos
IC4	ALKBH7	372	OxPhos
IC4	ENTPD6	372	OxPhos
IC4	ITM2C	372	OxPhos
IC4	APRT	372	OxPhos
IC4	EEF1D	372	OxPhos
IC4	FASTK	372	OxPhos
IC4	BCL2L1	372	OxPhos
IC4	SIVA1	372	OxPhos
IC4	DTYMK	372	OxPhos
IC4	ARL2	372	OxPhos
IC4	SHISA5	372	OxPhos
IC4	PLTP	372	OxPhos
IC4	WDR34	372	OxPhos
IC4	ARF1	372	OxPhos
IC4	TEX264	372	OxPhos
IC4	PRPF6	372	OxPhos
IC4	MRPL37	372	OxPhos
IC4	MALSU1	372	OxPhos
IC4	AIP	372	OxPhos
IC4	MRFAP1	372	OxPhos
IC4	SIRT2	372	OxPhos
IC4	NDUFB10	372	OxPhos
IC4	ATG4B	372	OxPhos
IC4	LY6E	372	OxPhos
IC4	BRMS1	372	OxPhos
IC4	WBP2	372	OxPhos
IC4	SUMO3	372	OxPhos
IC4	FAM127B	372	OxPhos
IC4	AP2S1	372	OxPhos
IC4	RDBP	372	OxPhos
IC4	NDUFS7	372	OxPhos
IC4	FLOT1	372	OxPhos
IC4	TRMT1	372	OxPhos
IC4	CSNK1A1	372	OxPhos
IC4	ILVBL	372	OxPhos
IC4	HLA-B	372	OxPhos
IC4	RPL13	372	OxPhos
IC4	MAEA	372	OxPhos
IC4	BSG	372	OxPhos
IC4	G6PC3	372	OxPhos
IC4	GMPPA	372	OxPhos
IC4	PEMT	372	OxPhos
IC4	RTN3	372	OxPhos
IC4	TOR1A	372	OxPhos
IC4	SSNA1	372	OxPhos
IC4	RPUSD3	372	OxPhos
IC4	WDR1	372	OxPhos
IC4	EIF4H	372	OxPhos
IC4	PCIF1	372	OxPhos
IC4	FCGRT	372	OxPhos
IC4	VTI1B	372	OxPhos
IC4	C9orf142	372	OxPhos
IC4	CTSA	372	OxPhos
IC4	NME3	372	OxPhos
IC4	UBL7	372	OxPhos
IC4	POP7	372	OxPhos
IC4	YTHDF2	372	OxPhos
IC4	TRPT1	372	OxPhos
IC4	UBXN1	372	OxPhos
IC4	OS9	372	OxPhos
IC4	DDRGK1	372	OxPhos
IC4	DBN1	372	OxPhos
IC4	DOLK	372	OxPhos
IC4	C11orf24	372	OxPhos
IC4	SLC39A1	372	OxPhos
IC4	ARF5	372	OxPhos
IC4	TSC22D3	372	OxPhos
IC4	LSM7	372	OxPhos
IC4	GUSB	372	OxPhos
IC4	SLC35C2	372	OxPhos
IC4	RAD23A	372	OxPhos
IC4	USP39	372	OxPhos
IC4	NUBP2	372	OxPhos
IC4	FTSJ1	372	OxPhos
IC4	APEH	372	OxPhos
IC4	RANGAP1	372	OxPhos
IC4	CDK4	372	OxPhos
IC4	FLII	372	OxPhos
IC4	THAP7	372	OxPhos
IC4	GORASP2	372	OxPhos
IC4	C19orf48	372	OxPhos
IC4	POR	372	OxPhos
IC4	TUBB4B	372	OxPhos
IC4	RALA	372	OxPhos
IC4	UQCRC1	372	OxPhos
IC4	GMPS	372	OxPhos
IC4	CIAO1	372	OxPhos
IC4	TMEM161A	372	OxPhos
IC4	C17orf62	372	OxPhos
IC4	TBL3	372	OxPhos
IC4	CPSF3L	372	OxPhos
IC4	TARBP2	372	OxPhos
IC4	CYB5R3	372	OxPhos
IC4	PLOD3	372	OxPhos
IC4	SLC25A11	372	OxPhos
IC4	PUS7	372	OxPhos
IC4	PDLIM7	372	OxPhos
IC4	COQ4	372	OxPhos
IC4	PPP2R1A	372	OxPhos
IC4	DDX49	372	OxPhos
IC4	NQO2	372	OxPhos
IC4	B3GNT1	372	OxPhos
IC4	ACO2	372	OxPhos
IC4	LRRC41	372	OxPhos
IC4	TIMM13	372	OxPhos
IC4	CUEDC2	372	OxPhos
IC4	KIAA1967	372	OxPhos
IC4	LGMN	372	OxPhos
IC4	KLHDC3	372	OxPhos
IC4	ARMC6	372	OxPhos
